编号	名字	等级	图标	飞行特效类型	动画样式	动画播放时间	能否锁定对象	伤害类型	伤害使用次数	使用范围	伤害扩散范围X	伤害扩散范围Y	伤害范围填充	升级所需经验	升级所需角色等级	下一等级ID	消耗魔法	攻击最小值	攻击最大值	自身冷却时间	公共冷却时间	产生状态ID	产生状态几率	强壮计算因子	智力计算因子	敏捷计算因子	自身物理伤害计算因子	自身魔法伤害计算因子	怪物被伤害时的仇恨计算系数	简介
95110522	迷你野蛮人重击	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	114	243	0	0	0	0	0	0	0	103	103	0	试炼之塔怪物技能
95110523	特种卫兵冰冻	1	14	0	10	500	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	85000309	95	0	0	0	100	100	0	试炼之塔怪物技能
95110524	特种卫兵重击	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	135	288	0	0	0	0	0	0	0	104	104	0	试炼之塔怪物技能
95110525	特种剑士冰冻	1	14	0	10	500	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	85000309	95	0	0	0	100	100	0	试炼之塔怪物技能
95110526	特种剑士重击	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	135	288	0	0	0	0	0	0	0	104	104	0	试炼之塔怪物技能
95110527	精灵护守者火	1	29	3	22	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85000210	100	0	0	0	100	100	0	试炼之塔怪物技能
95110528	精灵护守者冰	1	14	2	10	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85000308	90	0	0	0	100	100	0	试炼之塔怪物技能
95110529	高级弩箭兵近	1	15	1	0	0	1	1	1	3	0	0	1	0	0	0	0	461	649	0	0	0	0	0	0	0	100	100	0	试炼之塔怪物技能
95110530	高级弩箭兵追	1	13	4	0	0	1	1	1	6	0	0	1	0	0	0	0	232	337	0	0	0	0	0	0	0	107	107	0	试炼之塔怪物技能
95110531	兽人弓箭手追	1	13	4	0	0	1	1	1	6	0	0	1	0	0	0	0	271	373	0	0	0	0	0	0	0	110	110	0	试炼之塔怪物技能
95110532	兽人弓箭手火	1	29	3	22	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85000208	85	0	0	0	100	100	0	试炼之塔怪物技能
95110533	战斗矮人重	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	150	335	0	0	0	0	0	0	0	105	105	0	试炼之塔怪物技能
95110534	战斗矮人刺	1	23	0	21	500	1	1	1	2	0	0	1	0	0	0	0	93	194	0	0	85000108	100	0	0	0	100	100	0	试炼之塔怪物技能
95110535	兽人战士重	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	150	335	0	0	0	0	0	0	0	105	105	0	试炼之塔怪物技能
95110536	兽人战士血	1	3	0	11	400	0	1	1	2	0	0	1	0	0	0	0	76	205	0	0	85000408	100	0	0	0	94	94	0	试炼之塔怪物技能
95110537	亚玛逊弓箭手火	1	29	3	22	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85000210	100	0	0	0	100	100	0	试炼之塔怪物技能
95110538	亚玛逊弓箭手魔	1	12	4	0	0	1	0	1	6	0	0	1	0	0	0	0	169	237	0	0	0	0	0	0	0	110	110	0	试炼之塔怪物技能
95110539	高级骑士重	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	150	335	0	0	0	0	0	0	0	108	108	0	试炼之塔怪物技能
95110540	高级骑士刺	1	23	0	21	500	1	1	1	2	0	0	1	0	0	0	0	105	214	0	0	85000110	100	0	0	0	100	100	0	试炼之塔怪物技能
95110541	吓人球头领	1	1	0	21	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85021015	100	0	0	0	0	0	0	试炼之塔怪物技能
95110542	南瓜假面头领	1	6	0	1	500	1	0	1	6	0	0	1	0	0	0	0	97	162	0	0	0	0	0	0	0	138	138	0	试炼之塔怪物技能
95110543	石人头领	1	1	0	13	400	1	1	1	2	0	0	1	0	0	0	0	84	174	0	0	0	0	0	0	0	105	105	0	试炼之塔怪物技能
95110544	漂浮的幽灵头领	1	1	0	4	500	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	85021012	100	0	0	0	0	0	0	试炼之塔怪物技能
95110545	隐鼠头领	1	6	0	1	500	1	0	1	6	0	0	1	0	0	0	0	130	226	0	0	0	0	0	0	0	150	150	0	试炼之塔怪物技能
95110546	漂浮的幽灵	1	1	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85021016	100	0	0	0	100	100	0	试炼之塔怪物技能
95110547	妖绿的食人花	1	1	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85021017	100	0	0	0	100	100	0	试炼之塔怪物技能
95110548	小怪物	1	1	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85021018	100	0	0	0	100	100	0	试炼之塔怪物技能
95110549	施瓦新格	1	1	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85021019	100	0	0	0	135	120	0	72级主线怪技能
95110550	兽人弓箭手	1	1	3	23	500	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	108级主线怪技能
95110551	兽人刀盾手	1	1	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	108级主线怪技能
95110552	兽人精英	1	1	0	4	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85200003	100	0	0	0	150	150	0	108级主线怪技能
95110553	施瓦新格1	1	1	0	22	500	1	1	1	6	2	2	1	0	0	0	0	0	0	0	0	85200104	100	0	0	0	150	150	0	108级主线怪技能
95110554	施瓦新格2	1	1	0	28	400	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	0	108级主线怪技能
95110555	战斗祭司1	1	1	0	5	500	1	0	1	8	0	0	1	0	0	0	0	0	0	0	0	85200205	100	0	0	0	0	0	0	108级主线怪技能
95110556	战斗祭司2	1	1	0	16	500	1	0	1	8	0	0	1	0	0	0	0	0	0	0	0	85200306	100	0	0	0	0	0	0	108级主线怪技能
95110557	邪恶祭司	1	1	0	2	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	120级主线怪技能
95110558	守卫剑士	1	1	0	15	400	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	120级主线怪技能
95110559	皇家护卫	1	1	0	21	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85200407	100	0	0	0	150	150	0	120级主线怪技能
95110560	梅迪乌斯1	1	1	0	10	500	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	85200508	100	0	0	0	120	120	0	120级主线怪技能
95110561	梅迪乌斯2	1	1	0	25	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	150	150	0	120级主线怪技能
95110562	王子1	1	1	0	5	500	1	0	1	13	0	0	1	0	0	0	0	0	0	0	0	85200609	100	0	0	0	0	0	0	120级主线怪技能
95110563	王子2	1	1	0	26	500	1	0	1	13	0	0	1	0	0	0	0	0	0	0	0	85200710	100	0	0	0	0	0	0	120级主线怪技能
95110564	王子3	1	1	0	17	500	1	0	1	13	0	0	1	0	0	0	0	0	0	0	0	85200811	100	0	0	0	0	0	0	120级主线怪技能
95110565	骷髅雕像	1	1	0	2	500	1	1	1	10	0	0	1	0	0	0	0	0	0	0	0	85200912	100	0	0	0	0	0	0	120级主线用炮台
95110566	骷髅雕像	1	1	0	1	500	1	1	1	10	0	0	1	0	0	0	0	0	0	0	0	85200912	100	0	0	0	0	0	0	120级主线用炮台
95120081	地狱星	1	1	5	21	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	二转怪物用技能
95120082	地狱星	1	1	5	21	500	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	二转怪物用技能
95120083	魔域妖草	1	1	0	11	400	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85020101	100	0	0	0	100	100	0	二转怪物用技能
95120084	魔域妖草	1	1	0	11	400	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	85020101	100	0	0	0	100	100	0	二转怪物用技能
95120085	多目邪眼	1	1	6	10	500	1	0	1	6	0	0	1	0	0	0	0	0	0	0	0	85020102	100	0	0	0	100	100	0	二转怪物用技能
95120086	多目邪眼	1	1	6	10	500	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	85020102	100	0	0	0	100	100	0	二转怪物用技能
95120087	梦魇	1	1	0	19	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85020103	100	0	0	0	100	100	0	二转怪物用技能
95120088	梦魇	1	1	0	19	500	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	85020103	100	0	0	0	100	100	0	二转怪物用技能
95120089	原生兽人	1	1	0	13	400	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	120	0	二转怪物用技能
95120090	原生兽人	1	1	0	13	400	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	120	0	二转怪物用技能
95120091	死亡精灵	1	1	0	1	500	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	120	0	二转怪物用技能
95120092	死亡精灵	1	1	0	1	500	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	120	0	二转怪物用技能
95120093	恶魔守卫	1	1	0	4	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	130	130	0	二转怪物用技能
95120094	恶灵之火	1	1	5	28	400	1	1	1	6	0	0	1	0	0	0	0	0	0	0	0	85020105	100	0	0	0	100	100	0	二转怪物用技能
95120095	魔域石灵	1	1	0	23	500	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	85020106	100	0	0	0	100	100	0	二转怪物用技能
95100001	加血加蓝	1	1	0	5	500	1	1	1	4	0	0	1	0	0	0	0	0	0	0	0	85200001	100	0	0	0	0	0	0	任务怪用
95100002	催眠	1	1	0	3	500	1	1	1	4	0	0	1	0	0	0	0	0	0	0	0	85200002	100	0	0	0	100	100	0	任务怪用
