编号	名字	初始是否激活	激活条件-场景时间	激活条件-场景玩家数	激活条件-怪物死亡计数	复活时间下限	复活时间上限	复活地点范围	可复活次数	复活后发布公告范围(0不公告、1场景公告、2世界公告)	复活公告文本	前进目标位置X	前进目标位置Y	目标区域	随机移动范围	随机移动间隔	主动攻击范围	索敌时间	索敌成功几率	攻击对象PK值优先	攻击对象距离优先	攻击对象等级优先	攻击对象生命优先	攻击对象种族优先	还击时间	在该范围内战斗	飞到目标跟前战斗	超出范围是否飞回	返回途中是否战斗	受攻击时考虑改变攻击目标	超出攻击范围时考虑改变目标	超出攻击范围是否追击	最大追击步数	当生命少于该比例使用治疗技能	使用治疗性技能的几率	治疗性技能编号	使用技能攻击的几率	重复使用攻击技能的几率	攻击技能1	使用技能1的几率	使用技能1的生命条件	技能1的优先选择目标类型	攻击技能2	使用技能2的几率	使用技能2的生命条件	技能2的优先选择目标类型	攻击技能3	使用技能3的几率	使用技能3的生命条件	技能3的优先选择目标类型	攻击技能4	使用技能4的几率	使用技能4的生命条件	技能4的优先选择目标类型	攻击技能5	使用技能5的几率	使用技能5的生命条件	技能5的优先选择目标类型	死亡后计数值	生命少于该值逃跑	受伤害高于该值逃跑	逃跑距离	自动治疗时间间隔	治疗比例(百分比)	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	是否开启仇恨记录	攻击目标仇恨优先值	对游侠的仇恨系数	对法师的仇恨系数	对战士的仇恨系数	对近身攻击的仇恨加权系数	对远程攻击的仇恨加权系数	被魔法攻击的仇恨加权系数	被物理攻击的仇恨加权系数
80020010	王者之殿不移动会反击	1	0	0	0	1000	1000	0	99999999	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	500	200	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80020011	王者之殿牛头	1	0	0	0	1000	1000	0	99999999	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	500	10	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000081	地狱星	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120081	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000082	地狱星	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120082	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000083	魔域妖草	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120083	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000084	魔域妖草	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120084	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000085	多目邪眼	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120085	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000086	多目邪眼	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120086	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000087	梦魇	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120087	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000088	梦魇	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120088	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000089	原生兽人	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120089	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000090	原生兽人	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120090	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000091	死亡精灵	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120091	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000092	死亡精灵	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120092	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000093	恶魔守卫	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120093	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000094	恶灵之火	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120094	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
80000095	魔域石灵	1	0	0	0	40000	55000	4	99999999	0		0	0	0	5	2000	6	4000	70	0	0	0	0	0	200	20	0	0	1	1	0	1	200	0	0	0	15	10	95120095	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
83010219	医师·林肯	0	1	1	0	0	0	0	0	1	“医师·林肯”已前来帮助您，他将沿途为你提供治疗。	0	0	0	0	0	14	200	100	0	0	0	0	0	200	200	0	0	1	0	0	1	9999999	0	0	0	100	100	95100001	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3000	2	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	1	0	0	0	0	0	0	0	0
83010220	地底吞噬者	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	200	100	0	0	0	0	0	200	20	0	0	0	1	1	1	15	0	0	0	15	10	95100002	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010221	地底吞噬者头领	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	200	100	0	0	0	0	0	200	20	0	0	0	1	1	1	15	0	0	0	30	10	95100002	25	100	0	95110523	50	100	0	95110546	100	100	0	0	0	0	0	0	0	0	0	1	0	0	0	3000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010127	兽人弓箭手	1	0	0	0	10000	20000	3	3	0	0	0	0	0	5	2000	6	200	70	0	1	0	0	0	200	10	0	0	0	1	1	1	15	0	0	0	30	0	95110550	50	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010128	兽人刀盾手	1	0	0	0	10000	20000	3	3	0	0	0	0	0	5	2000	6	200	70	0	1	0	0	0	200	10	0	0	0	1	1	1	15	0	0	0	30	0	95110551	50	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010129	兽人精英	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2000	10	200	100	0	1	0	0	0	200	10	0	0	0	1	1	1	15	0	0	0	50	0	95110552	50	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010130	施瓦新格	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2000	10	200	100	0	1	0	0	0	200	24	0	1	0	1	1	1	15	0	0	0	60	0	95110553	50	100	1	95110554	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	850001	30	850004	30	850005	30	850016	30	850017	30	850019	30	851001	100	851002	100	851003	100	0	0	1	0	0	0	0	0	0	0	0
83010131	战斗祭司	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	200	70	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	100	0	95110555	50	100	1	95110556	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	1	0	0	0	0	0	0	0	0
83010132	邪恶祭司	0	0	0	10	0	0	0	0	0	0	0	0	0	5	2000	6	200	70	0	0	0	0	0	200	10	0	0	0	0	0	1	15	0	0	0	30	0	95110557	50	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010133	守卫剑士	0	0	0	10	0	0	0	0	0	0	0	0	0	5	2000	6	200	70	0	0	0	0	0	200	10	0	0	0	0	0	1	15	0	0	0	30	0	95110558	50	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010134	皇家护卫	0	0	0	10	0	0	0	0	0	0	0	0	0	5	2000	6	200	70	0	0	0	0	0	200	10	0	0	0	0	0	1	15	0	0	0	50	0	95110559	50	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010135	梅迪乌斯	0	0	0	10	0	0	0	0	1	“梅迪乌斯”带着他军队，把这里包围了。	0	0	0	5	2000	10	200	100	0	0	0	0	0	200	30	0	0	0	0	0	1	9999999	0	0	0	60	0	95110560	50	100	1	95110561	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
83010136	雕像化神	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2000	12	1200	100	0	0	0	0	0	200	11	0	0	0	0	0	0	0	0	0	0	100	100	95110564	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	1	0	0	0	0	0	0	0	0
83010137	雕像治愈	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2000	13	1200	100	0	0	0	0	0	200	13	0	0	0	0	0	0	0	0	0	0	100	100	95110562	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	1	0	0	0	0	0	0	0	0
83010138	雕像神化	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2000	14	1200	100	0	0	0	0	0	200	14	0	0	0	0	0	0	0	0	0	0	100	100	95110563	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	1	0	0	0	0	0	0	0	0
83010139	5格主动攻击多目怪	1	0	0	0	0	0	0	0	0	0	0	0	0	5	5000	5	1000	70	0	1	0	0	2	800	10	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83010140	圣诞小偷	1	0	0	0	60000	70000	6	99999999	0	0	0	0	0	100	200	6	200	100	0	0	0	0	0	200	300	0	0	1	1	1	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	300	500	200	100	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83010141	圣诞小偷	1	0	0	0	60000	70000	6	99999999	0	0	0	0	0	100	200	6	200	100	0	0	0	0	0	200	300	0	0	1	1	1	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	300	500	200	100	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83010142	圣诞小偷头领	1	0	0	0	864000	864000	200	700	2	圣诞小偷头领在“1号圣诞之乡”出现了！它的脖子上挂着“圣诞星星”哦。	0	0	0	100	200	10	200	100	0	0	0	0	0	200	300	0	0	1	1	1	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	500	200	100	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83010143	圣诞小偷头领	1	0	0	0	864000	864000	200	700	2	圣诞小偷头领在“2号圣诞之乡”出现了！它的脖子上挂着“圣诞星星”哦。	0	0	0	100	200	10	200	100	0	0	0	0	0	200	300	0	0	1	1	1	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	500	200	100	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83010144	圣诞小偷头领	1	0	0	0	864000	864000	200	700	2	圣诞小偷头领在“3号圣诞之乡”出现了！它的脖子上挂着“圣诞星星”哦。	0	0	0	100	200	10	200	100	0	0	0	0	0	200	300	0	0	1	1	1	1	9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	500	200	100	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83010145	肉肉大兵	1	0	0	0	200	200	0	99999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	100	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
83010146	粉色肉肉	1	0	0	0	3600000	7200000	200	99999999	2	粉色肉肉带着肉肉国王的奖品，出现在迷宫中，玩家可以找贝伦城的肉肉首相进入。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	500	3000	100	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
80010221	攻城BOSS	1	0	0	0	90000000	93600000	0	99999999	2	凶残的杀戮魔在在塔魔尼地宫六层出现啦，勇士们快去击杀吧~	0	0	0	5	2000	8	200	100	0	1	0	1	1	200	200	0	1	0	1	1	1	15	0	0	0	60	5	95110301	40	100	2	95110302	80	100	4	95110303	90	30	7	95110304	95	30	1	95110100	100	100	1	0	0	0	0	200	10	850003	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	15	12	60	80	50	50
